dia_del_año,motos_cargando,taxis_cargando,co2_motos_kg,co2_taxis_kg,co2_total_kg
70,265604.0,70798.0,611154.804,355689.152,966843.956
71,269107.0,71832.0,619215.207,360883.968,980099.175
72,272955.0,72785.0,628069.4550000001,365671.84,993741.295
73,276578.0,73900.0,636405.978,371273.6,1007679.578
74,280426.0,74819.0,645260.226,375890.656,1021150.882
75,283912.0,75862.0,653281.512,381130.688,1034412.2000000001
76,287545.0,77043.0,661641.045,387064.032,1048705.077
77,291344.0,78050.0,670382.544,392123.2,1062505.744
78,295156.0,79052.0,679153.956,397157.248,1076311.2040000001
79,299033.0,79980.0,688074.9330000001,401819.52,1089894.453
80,303030.0,80866.0,697272.03,406270.784,1103542.814
81,306898.0,81774.0,706172.2980000001,410832.576,1117004.874
82,310676.0,82819.0,714865.476,416082.656,1130948.132
83,314592.0,83892.0,723876.192,421473.408,1145349.6
84,318310.0,84942.0,732431.31,426748.608,1159179.918
85,322108.0,85889.0,741170.508,431506.336,1172676.844
86,326029.0,86723.0,750192.729,435696.352,1185889.081
87,329830.0,87778.0,758938.8300000001,440996.672,1199935.502
88,333489.0,88861.0,767358.189,446437.664,1213795.8530000001
89,337295.0,89812.0,776115.795,451215.488,1227331.283
90,341064.0,90951.0,784788.2640000001,456937.824,1241726.088
91,344663.0,92104.0,793069.5630000001,462730.496,1255800.0590000001
92,348313.0,93245.0,801468.2130000001,468462.88,1269931.093
93,352311.0,94272.0,810667.611,473622.528,1284290.139
94,356137.0,95242.0,819471.2370000001,478495.808,1297967.0450000002
95,359869.0,96238.0,828058.569,483499.712,1311558.281
96,363386.0,97375.0,836151.1860000001,489212.0,1325363.186
97,367140.0,98399.0,844789.14,494356.576,1339145.716
98,370982.0,99360.0,853629.582,499184.64,1352814.222
99,375005.0,100152.0,862886.5050000001,503163.648,1366050.1530000002
100,378708.0,101122.0,871407.108,508036.928,1379444.036
101,382558.0,102204.0,880265.9580000001,513472.896,1393738.854
102,386461.0,103106.0,889246.761,518004.544,1407251.3050000002
103,390251.0,104126.0,897967.5510000001,523129.024,1421096.5750000002
104,393936.0,105189.0,906446.736,528469.536,1434916.272
105,397656.0,106256.0,915006.4560000001,533830.144,1448836.6
106,401534.0,107300.0,923929.734,539075.2,1463004.9340000001
107,405207.0,108329.0,932381.307,544244.896,1476626.203
108,408938.0,109343.0,940966.3380000001,549339.232,1490305.57
109,412986.0,110164.0,950280.7860000001,553463.936,1503744.722
110,416967.0,110965.0,959441.067,557488.16,1516929.227
111,420795.0,111998.0,968249.295,562677.952,1530927.247
112,424664.0,113043.0,977151.8640000001,567928.032,1545079.896
113,428330.0,114089.0,985587.3300000001,573183.1359999999,1558770.466
114,432014.0,115115.0,994064.214,578337.76,1572401.9740000002
115,435789.0,116138.0,1002750.4890000001,583477.312,1586227.801
116,439634.0,117049.0,1011597.834,588054.176,1599652.01
117,443352.0,117919.0,1020152.952,592425.056,1612578.0080000001
118,447082.0,118800.0,1028735.682,596851.2,1625586.882
119,450980.0,119678.0,1037704.9800000001,601262.272,1638967.252
120,454772.0,120694.0,1046430.3720000001,606366.656,1652797.0280000002
121,458606.0,121890.0,1055252.406,612375.36,1667627.766
122,462337.0,122959.0,1063837.4370000002,617746.016,1681583.453
123,466087.0,124176.0,1072466.1870000002,623860.224,1696326.411
124,469942.0,125170.0,1081336.5420000001,628854.08,1710190.622
125,473635.0,126117.0,1089834.135,633611.808,1723445.943
126,477476.0,127036.0,1098672.276,638228.8640000001,1736901.1400000001
127,481239.0,128101.0,1107330.939,643579.424,1750910.3630000001
128,484975.0,129060.0,1115927.475,648397.44,1764324.915
129,488660.0,130153.0,1124406.6600000001,653888.672,1778295.332
130,492326.0,131164.0,1132842.1260000002,658967.936,1791810.0620000002
131,496028.0,132206.0,1141360.428,664202.944,1805563.372
132,499643.0,133482.0,1149678.543,670613.568,1820292.111
133,503406.0,134656.0,1158337.206,676511.744,1834848.9500000002
134,507301.0,135616.0,1167299.601,681334.784,1848634.385
135,511145.0,136429.0,1176144.645,685419.296,1861563.941
136,514969.0,137338.0,1184943.669,689986.112,1874929.781
137,518910.0,138190.0,1194011.9100000001,694266.5599999999,1888278.4700000002
138,522647.0,139030.0,1202610.747,698486.72,1901097.4670000002
139,526278.0,140192.0,1210965.678,704324.608,1915290.286
140,529992.0,141318.0,1219511.5920000002,709981.632,1929493.2240000002
141,533864.0,142414.0,1228421.064,715487.936,1943909.0
142,537437.0,143539.0,1236642.537,721139.936,1957782.4730000002
143,541151.0,144562.0,1245188.4510000001,726279.488,1971467.939
144,545075.0,145629.0,1254217.5750000002,731640.096,1985857.671
145,548852.0,146652.0,1262908.452,736779.648,1999688.1
146,552587.0,147733.0,1271502.6870000002,742210.592,2013713.279
147,556410.0,148802.0,1280299.4100000001,747581.248,2027880.658
148,560315.0,149939.0,1289284.8150000002,753293.536,2042578.351
149,564235.0,151063.0,1298304.735,758940.512,2057245.247
150,568089.0,152068.0,1307172.789,763989.632,2071162.421
151,571916.0,153113.0,1315978.716,769239.712,2085218.428
152,575899.0,154065.0,1325143.5990000002,774022.56,2099166.159
153,579881.0,155124.0,1334306.181,779342.976,2113649.157
154,583911.0,156122.0,1343579.2110000001,784356.928,2127936.139
155,587797.0,157161.0,1352520.897,789576.864,2142097.761
156,591442.0,158164.0,1360908.0420000001,794615.936,2155523.978
157,595123.0,159258.0,1369378.023,800112.192,2169490.2150000003
158,598815.0,160305.0,1377873.3150000002,805372.32,2183245.6350000002
159,602652.0,161287.0,1386702.252,810305.888,2197008.14
160,606526.0,162451.0,1395616.3260000001,816153.824,2211770.15
161,610378.0,163408.0,1404479.7780000002,820961.792,2225441.5700000003
162,614176.0,164169.0,1413218.976,824785.056,2238004.032
163,618102.0,165180.0,1422252.702,829864.32,2252117.022
164,621820.0,166298.0,1430807.82,835481.152,2266288.972
165,625588.0,167363.0,1439477.9880000001,840831.712,2280309.7
166,629392.0,168396.0,1448230.992,846021.5040000001,2294252.4960000003
167,633063.0,169389.0,1456677.963,851010.336,2307688.299
168,636830.0,170435.0,1465345.83,856265.44,2321611.27
169,640541.0,171400.0,1473884.841,861113.6,2334998.441
170,644217.0,172543.0,1482343.317,866856.032,2349199.349
171,648032.0,173515.0,1491121.632,871739.36,2362860.992
172,651979.0,174521.0,1500203.679,876793.504,2376997.183
173,655994.0,175532.0,1509442.1940000001,881872.768,2391314.9620000003
174,660025.0,176392.0,1518717.5250000001,886193.408,2404910.933
175,664034.0,177302.0,1527942.2340000002,890765.248,2418707.4820000003
176,667711.0,178293.0,1536403.0110000002,895744.032,2432147.043
177,671581.0,179325.0,1545307.881,900928.8,2446236.6810000003
178,675568.0,180284.0,1554481.968,905746.816,2460228.784
179,679305.0,181256.0,1563080.8050000002,910630.144,2473710.949
180,682933.0,182204.0,1571428.833,915392.896,2486821.7290000003
181,686716.0,183286.0,1580133.516,920828.8640000001,2500962.3800000004
182,690606.0,184365.0,1589084.4060000002,926249.76,2515334.166
183,694451.0,185263.0,1597931.7510000002,930761.312,2528693.063
184,698245.0,186349.0,1606661.745,936217.376,2542879.1210000003
185,701959.0,187435.0,1615207.659,941673.4400000001,2556881.099
186,705773.0,188495.0,1623983.6730000002,946998.88,2570982.5530000003
187,709630.0,189440.0,1632858.6300000001,951746.56,2584605.19
188,713284.0,190525.0,1641266.4840000002,957197.6,2598464.0840000003
189,717075.0,191497.0,1649989.5750000002,962080.928,2612070.503
190,720807.0,192548.0,1658576.9070000001,967361.152,2625938.059
191,724668.0,193626.0,1667461.0680000002,972777.024,2640238.092
192,728241.0,194868.0,1675682.5410000002,979016.832,2654699.373
193,731897.0,196000.0,1684094.9970000002,984704.0,2668798.997
194,735746.0,197089.0,1692951.546,990175.136,2683126.682
195,739105.0,198426.0,1700680.605,996892.2239999999,2697572.829
196,742931.0,199477.0,1709484.2310000001,1002172.448,2711656.679
197,747040.0,200444.0,1718939.04,1007030.656,2725969.696
198,750862.0,201516.0,1727733.462,1012416.3840000001,2740149.846
199,754391.0,202548.0,1735853.691,1017601.152,2753454.843
200,758040.0,203581.0,1744250.04,1022790.944,2767040.984
201,761748.0,204723.0,1752782.148,1028528.352,2781310.5
202,765744.0,205844.0,1761976.9440000001,1034160.256,2796137.2
203,769597.0,207045.0,1770842.6970000002,1040194.08,2811036.7770000002
204,773343.0,208241.0,1779462.243,1046202.784,2825665.0270000002
205,777099.0,209250.0,1788104.799,1051272.0,2839376.799
206,780955.0,210028.0,1796977.455,1055180.672,2852158.127
207,784804.0,210897.0,1805834.0040000002,1059546.528,2865380.532
208,788561.0,211958.0,1814478.861,1064876.992,2879355.853
209,792203.0,213056.0,1822859.1030000001,1070393.344,2893252.447
210,795920.0,214042.0,1831411.9200000002,1075347.008,2906758.9280000003
211,799705.0,215040.0,1840121.205,1080360.96,2920482.165
212,803690.0,216046.0,1849290.6900000002,1085415.104,2934705.794
213,807313.0,217091.0,1857627.213,1090665.1840000001,2948292.397
214,811017.0,218095.0,1866150.117,1095709.28,2961859.3970000003
215,814859.0,219042.0,1874990.5590000001,1100467.008,2975457.5670000003
216,818731.0,220124.0,1883900.0310000002,1105902.976,2989803.007
217,822490.0,221195.0,1892549.4900000002,1111283.68,3003833.1700000004
218,826219.0,222338.0,1901129.9190000002,1117026.112,3018156.031
219,830076.0,223235.0,1910004.8760000002,1121532.64,3031537.5160000003
220,834068.0,223988.0,1919190.468,1125315.712,3044506.18
221,837948.0,224928.0,1928118.3480000002,1130038.2719999999,3058156.62
222,841865.0,225848.0,1937131.3650000002,1134660.352,3071791.717
223,845674.0,226861.0,1945895.874,1139749.664,3085645.538
224,849430.0,227836.0,1954538.4300000002,1144648.064,3099186.494
225,853245.0,228893.0,1963316.745,1149958.432,3113275.177
226,857049.0,229934.0,1972069.749,1155188.416,3127258.165
227,860949.0,230860.0,1981043.6490000002,1159840.64,3140884.289
228,864904.0,231760.0,1990144.104,1164362.24,3154506.344
229,868949.0,232558.0,1999451.6490000002,1168371.392,3167823.041
230,872941.0,233413.0,2008637.2410000002,1172666.912,3181304.153
231,876913.0,234358.0,2017776.813,1177414.592,3195191.4050000003
232,880692.0,235318.0,2026472.2920000001,1182237.632,3208709.924
233,884409.0,236206.0,2035025.1090000002,1186698.9440000001,3221724.0530000003
234,888201.0,237293.0,2043750.5010000002,1192160.032,3235910.5330000003
235,892046.0,238261.0,2052597.8460000001,1197023.264,3249621.1100000003
236,895808.0,239300.0,2061254.208,1202243.2,3263497.4080000003
237,899456.0,240356.0,2069648.2560000003,1207548.544,3277196.8000000003
238,903295.0,241303.0,2078481.7950000002,1212306.272,3290788.0670000003
239,907050.0,242342.0,2087122.05,1217526.208,3304648.258
240,910707.0,243419.0,2095536.8070000003,1222937.056,3318473.8630000004
241,914475.0,244571.0,2104206.975,1228724.704,3332931.679
242,918469.0,245657.0,2113397.169,1234180.768,3347577.937
243,922339.0,246734.0,2122302.0390000003,1239591.616,3361893.6550000003
244,926086.0,247769.0,2130923.886,1244791.456,3375715.342
245,929924.0,248763.0,2139755.1240000003,1249785.312,3389540.436
246,933625.0,249831.0,2148271.125,1255150.9440000001,3403422.069
247,937152.0,251063.0,2156386.7520000003,1261340.512,3417727.264
248,940997.0,252094.0,2165234.097,1266520.256,3431754.353
249,944720.0,253206.0,2173800.72,1272106.944,3445907.6640000003
250,948255.0,254288.0,2181934.7550000004,1277542.912,3459477.6670000004
251,952064.0,255352.0,2190699.264,1282888.448,3473587.7120000003
252,955976.0,256240.0,2199700.776,1287349.76,3487050.5360000003
253,959827.0,257143.0,2208561.927,1291886.432,3500448.359
254,963810.0,258027.0,2217726.81,1296327.648,3514054.458
255,967597.0,258854.0,2226440.697,1300482.496,3526923.193
256,971473.0,259746.0,2235359.373,1304963.904,3540323.2770000002
257,975159.0,260676.0,2243840.859,1309636.224,3553477.083
258,978968.0,261765.0,2252605.3680000002,1315107.36,3567712.728
259,983019.0,262791.0,2261926.719,1320261.984,3582188.703
260,987040.0,263712.0,2271179.04,1324889.088,3596068.128
261,990767.0,264801.0,2279754.867,1330360.224,3610115.091
262,994448.0,265868.0,2288224.848,1335720.832,3623945.68
263,998279.0,266915.0,2297039.9790000003,1340980.96,3638020.9390000002
264,1002120.0,267952.0,2305878.12,1346190.848,3652068.9680000003
265,1006037.0,269045.0,2314891.137,1351682.08,3666573.217
266,1009832.0,270125.0,2323623.432,1357108.0,3680731.432
267,1013727.0,270971.0,2332585.827,1361358.304,3693944.131
268,1017732.0,271792.0,2341801.332,1365483.008,3707284.3400000003
269,1021471.0,272951.0,2350404.771,1371305.824,3721710.595
270,1025372.0,273991.0,2359380.972,1376530.784,3735911.756
271,1029132.0,274787.0,2368032.7320000003,1380529.888,3748562.62
272,1032935.0,275798.0,2376783.435,1385609.152,3762392.5870000003
273,1036890.0,276715.0,2385883.89,1390216.16,3776100.0500000003
274,1040598.0,277848.0,2394415.998,1395908.352,3790324.35
275,1044338.0,278893.0,2403021.7380000004,1401158.432,3804180.17
276,1047904.0,279987.0,2411227.1040000003,1406654.688,3817881.7920000004
277,1051793.0,280928.0,2420175.693,1411382.272,3831557.9650000003
278,1055674.0,281884.0,2429105.8740000003,1416185.216,3845291.0900000003
279,1059412.0,283031.0,2437707.012,1421947.744,3859654.756
280,1063199.0,284153.0,2446420.899,1427584.672,3874005.571
281,1066943.0,285201.0,2455035.8430000003,1432849.824,3887885.6670000004
282,1070628.0,286241.0,2463515.028,1438074.784,3901589.8120000004
283,1074148.0,287252.0,2471614.5480000004,1443154.048,3914768.5960000004
284,1077735.0,288241.0,2479868.2350000003,1448122.784,3927991.0190000003
285,1081447.0,289243.0,2488409.5470000003,1453156.832,3941566.379
286,1085282.0,290237.0,2497233.882,1458150.688,3955384.5700000003
287,1088919.0,291279.0,2505602.619,1463385.696,3968988.315
288,1092767.0,292268.0,2514456.867,1468354.432,3982811.299
289,1096983.0,293223.0,2524157.8830000004,1473152.352,3997310.2350000003
290,1101232.0,294247.0,2533934.832,1478296.928,4012231.7600000002
291,1104980.0,295276.0,2542558.98,1483466.624,4026025.6040000003
292,1108711.0,296303.0,2551144.011,1488626.272,4039770.2830000003
293,1112334.0,297421.0,2559480.534,1494243.104,4053723.6380000003
294,1116245.0,298466.0,2568479.745,1499493.184,4067972.929
295,1120053.0,299364.0,2577241.953,1504004.736,4081246.6890000002
296,1123838.0,300329.0,2585951.2380000004,1508852.896,4094804.134
297,1127693.0,301299.0,2594821.5930000003,1513726.176,4108547.7690000003
298,1131478.0,302367.0,2603530.878,1519091.808,4122622.686
299,1135133.0,303323.0,2611941.0330000003,1523894.752,4135835.785
300,1138836.0,304184.0,2620461.636,1528220.416,4148682.052
301,1142647.0,305249.0,2629230.747,1533570.976,4162801.723
302,1146559.0,306119.0,2638232.259,1537941.856,4176174.115
303,1150584.0,306953.0,2647493.784,1542131.872,4189625.6560000004
304,1154491.0,308009.0,2656483.791,1547437.216,4203921.007
305,1158331.0,308957.0,2665319.631,1552199.968,4217519.599
306,1162172.0,309894.0,2674157.7720000003,1556907.456,4231065.228
307,1166077.0,310854.0,2683143.177,1561730.496,4244873.673
308,1169977.0,311804.0,2692117.077,1566503.296,4258620.373
309,1173836.0,312783.0,2700996.6360000004,1571421.7920000001,4272418.428
310,1177589.0,313754.0,2709632.2890000003,1576300.096,4285932.385
311,1181312.0,314732.0,2718198.912,1581213.568,4299412.48
312,1184918.0,315869.0,2726496.318,1586925.8560000001,4313422.174000001
313,1188485.0,317068.0,2734703.9850000003,1592949.632,4327653.617000001
314,1191999.0,318240.0,2742789.699,1598837.76,4341627.459000001
315,1195672.0,319259.0,2751241.2720000003,1603957.216,4355198.488
316,1199156.0,320437.0,2759257.9560000002,1609875.488,4369133.444
317,1202787.0,321568.0,2767612.887,1615557.632,4383170.519
318,1206474.0,322472.0,2776096.674,1620099.328,4396196.002
319,1210284.0,323383.0,2784863.484,1624676.192,4409539.676
320,1213962.0,324377.0,2793326.5620000004,1629670.048,4422996.61
321,1217729.0,325357.0,2801994.429,1634593.568,4436587.997
322,1221664.0,326378.0,2811048.864,1639723.072,4450771.936
323,1225364.0,327374.0,2819562.5640000002,1644726.976,4464289.54
324,1229289.0,328194.0,2828593.989,1648846.656,4477440.6450000005
325,1233252.0,329155.0,2837712.8520000004,1653674.72,4491387.572
326,1237080.0,330134.0,2846521.08,1658593.216,4505114.296
327,1240930.0,331025.0,2855379.93,1663069.6,4518449.53
328,1244890.0,331961.0,2864491.89,1667772.064,4532263.954
329,1248941.0,333084.0,2873813.2410000004,1673414.016,4547227.257
330,1252883.0,334053.0,2882883.7830000003,1678282.272,4561166.055000001
331,1256844.0,334965.0,2891998.044,1682864.16,4574862.204
332,1260778.0,335818.0,2901050.1780000003,1687149.632,4588199.8100000005
333,1264665.0,336809.0,2909994.165,1692128.416,4602122.581
334,1268527.0,337816.0,2918880.6270000003,1697187.584,4616068.211
335,1272301.0,338788.0,2927564.6010000003,1702070.912,4629635.513
336,1276023.0,339859.0,2936128.9230000004,1707451.616,4643580.539
337,1279948.0,340659.0,2945160.348,1711470.816,4656631.164
338,1283799.0,341563.0,2954021.4990000003,1716012.512,4670034.011
339,1287628.0,342525.0,2962832.0280000004,1720845.6,4683677.6280000005
340,1291603.0,343528.0,2971978.503,1725884.672,4697863.175
341,1295400.0,344550.0,2980715.4000000004,1731019.2,4711734.600000001
342,1299104.0,345632.0,2989238.304,1736455.168,4725693.472
343,1303003.0,346596.0,2998209.9030000004,1741298.304,4739508.207
344,1306847.0,347596.0,3007054.947,1746322.304,4753377.251
345,1310698.0,348626.0,3015916.098,1751497.024,4767413.122
346,1314487.0,349551.0,3024634.5870000003,1756144.224,4780778.811
347,1318296.0,350478.0,3033399.0960000004,1760801.472,4794200.568
348,1321944.0,351478.0,3041793.1440000003,1765825.472,4807618.616
349,1325776.0,352422.0,3050610.5760000004,1770568.128,4821178.704
350,1329376.0,353457.0,3058894.176,1775767.9679999999,4834662.144
351,1333125.0,354592.0,3067520.625,1781470.208,4848990.833000001
352,1336934.0,355660.0,3076285.134,1786835.84,4863120.974
353,1340647.0,356735.0,3084828.7470000004,1792236.64,4877065.387
354,1344198.0,357768.0,3092999.598,1797426.432,4890426.03
355,1347807.0,358757.0,3101303.907,1802395.168,4903699.075
356,1351559.0,359813.0,3109937.259,1807700.512,4917637.771
357,1355326.0,360858.0,3118605.126,1812950.592,4931555.718
358,1359193.0,361802.0,3127503.0930000003,1817693.248,4945196.341
359,1363108.0,362828.0,3136511.5080000004,1822847.872,4959359.38
360,1366884.0,363754.0,3145200.0840000003,1827500.096,4972700.180000001
361,1370495.0,364904.0,3153508.995,1833277.696,4986786.691000001
362,1374576.0,365933.0,3162899.376,1838447.392,5001346.768
363,1378525.0,366910.0,3171986.0250000004,1843355.84,5015341.865
364,1382257.0,368049.0,3180573.3570000003,1849078.176,5029651.533
