fecha,hora,demanda_kw
2024-01-05,22,120.92
2024-01-05,23,103.8
2024-01-06,0,92.53
2024-01-06,1,78.66
2024-01-06,2,73.28
2024-01-06,3,73.93
2024-01-06,4,72.45
2024-01-06,5,76.68
2024-01-06,6,89.52
2024-01-06,7,105.41
2024-01-06,8,125.65
2024-01-06,9,151.09
2024-01-06,10,170.42
2024-01-06,11,182.92
2024-01-06,12,187.96
2024-01-06,13,184.93
2024-01-06,14,173.7
2024-01-06,15,158.45
2024-01-06,16,165.92
2024-01-06,17,168.36
2024-01-06,18,176.02
2024-01-06,19,181.88
2024-01-06,20,156.68
2024-01-06,21,143.04
2024-01-06,22,113.22
2024-01-06,23,99.31
2024-01-07,0,90.9
2024-01-07,1,79.91
2024-01-07,2,75.64
2024-01-07,3,75.11
2024-01-07,4,71.36
2024-01-07,5,74.68
2024-01-07,6,93.49
2024-01-07,7,104.13
2024-01-07,8,125.58
2024-01-07,9,153.48
2024-01-07,10,167.34
2024-01-07,11,174.69
2024-01-07,12,196.05
2024-01-07,13,177.6
2024-01-07,14,172.57
2024-01-07,15,165.02
2024-01-07,16,163.73
2024-01-07,17,174.02
2024-01-07,18,184.63
2024-01-07,19,182.65
2024-01-07,20,158.62
2024-01-07,21,141.28
2024-01-07,22,112.67
2024-01-07,23,94.96
2024-01-08,0,97.43
2024-01-08,1,91.27
2024-01-08,2,86.44
2024-01-08,3,79.36
2024-01-08,4,77.16
2024-01-08,5,81.1
2024-01-08,6,96.98
2024-01-08,7,118.32
2024-01-08,8,136.77
2024-01-08,9,164.37
2024-01-08,10,187.44
2024-01-08,11,194.79
2024-01-08,12,206.67
2024-01-08,13,201.09
2024-01-08,14,192.55
2024-01-08,15,181.73
2024-01-08,16,186.16
2024-01-08,17,190.81
2024-01-08,18,200.13
2024-01-08,19,198.61
2024-01-08,20,176.99
2024-01-08,21,154.51
2024-01-08,22,125.64
2024-01-08,23,106.57
2024-01-09,0,98.12
2024-01-09,1,88.69
2024-01-09,2,84.62
2024-01-09,3,82.86
2024-01-09,4,76.02
2024-01-09,5,83.7
2024-01-09,6,99.33
2024-01-09,7,117.44
2024-01-09,8,133.02
2024-01-09,9,172.36
2024-01-09,10,195.78
2024-01-09,11,199.69
2024-01-09,12,209.61
2024-01-09,13,196.55
2024-01-09,14,190.68
2024-01-09,15,168.55
2024-01-09,16,190.15
2024-01-09,17,195.32
2024-01-09,18,206.96
2024-01-09,19,200.28
2024-01-09,20,177.45
2024-01-09,21,160.58
2024-01-09,22,127.7
2024-01-09,23,107.38
2024-01-10,0,98.97
2024-01-10,1,90.1
2024-01-10,2,83.46
2024-01-10,3,79.94
2024-01-10,4,79.86
2024-01-10,5,85.83
2024-01-10,6,101.26
2024-01-10,7,112.59
2024-01-10,8,138.46
2024-01-10,9,167.72
2024-01-10,10,183.3
2024-01-10,11,196.67
2024-01-10,12,214.96
2024-01-10,13,208.02
2024-01-10,14,191.15
2024-01-10,15,177.65
2024-01-10,16,188.2
2024-01-10,17,191.48
2024-01-10,18,206.58
2024-01-10,19,203.29
2024-01-10,20,176.37
2024-01-10,21,154.96
2024-01-10,22,126.05
2024-01-10,23,105.48
2024-01-11,0,97.87
2024-01-11,1,87.44
2024-01-11,2,84.79
2024-01-11,3,80.61
2024-01-11,4,80.5
2024-01-11,5,81.91
2024-01-11,6,94.1
2024-01-11,7,114.07
2024-01-11,8,138.67
2024-01-11,9,174.11
2024-01-11,10,187.75
2024-01-11,11,197.52
2024-01-11,12,205.77
2024-01-11,13,203.22
2024-01-11,14,189.85
2024-01-11,15,180.98
2024-01-11,16,186.29
2024-01-11,17,198.98
2024-01-11,18,205.49
2024-01-11,19,199.62
2024-01-11,20,182.55
2024-01-11,21,154.81
2024-01-11,22,124.79
2024-01-11,23,101.46
2024-01-12,0,99.2
2024-01-12,1,90.71
2024-01-12,2,83.42
2024-01-12,3,82.37
2024-01-12,4,79.54
2024-01-12,5,82.72
2024-01-12,6,98.91
2024-01-12,7,117.1
2024-01-12,8,135.8
2024-01-12,9,163.22
2024-01-12,10,190.19
2024-01-12,11,196.77
2024-01-12,12,209.66
2024-01-12,13,185.43
2024-01-12,14,185.37
2024-01-12,15,183.27
2024-01-12,16,185.23
2024-01-12,17,198.73
2024-01-12,18,202.86
2024-01-12,19,198.48
2024-01-12,20,174.71
2024-01-12,21,160.15
2024-01-12,22,123.55
2024-01-12,23,102.37
2024-01-13,0,90.99
2024-01-13,1,80.39
2024-01-13,2,79.09
2024-01-13,3,75.44
2024-01-13,4,70.0
2024-01-13,5,75.01
2024-01-13,6,90.37
2024-01-13,7,102.8
2024-01-13,8,121.97
2024-01-13,9,151.87
2024-01-13,10,174.4
2024-01-13,11,175.37
2024-01-13,12,200.44
2024-01-13,13,180.09
2024-01-13,14,172.16
2024-01-13,15,157.34
2024-01-13,16,168.85
2024-01-13,17,176.59
2024-01-13,18,181.61
2024-01-13,19,181.06
2024-01-13,20,160.09
2024-01-13,21,144.39
2024-01-13,22,116.46
2024-01-13,23,95.66
2024-01-14,0,88.72
2024-01-14,1,80.77
2024-01-14,2,76.53
2024-01-14,3,76.82
2024-01-14,4,70.92
2024-01-14,5,73.22
2024-01-14,6,87.46
2024-01-14,7,101.93
2024-01-14,8,122.12
2024-01-14,9,149.67
2024-01-14,10,169.7
2024-01-14,11,179.16
2024-01-14,12,190.41
2024-01-14,13,184.46
2024-01-14,14,166.25
2024-01-14,15,163.66
2024-01-14,16,159.13
2024-01-14,17,175.83
2024-01-14,18,188.92
2024-01-14,19,169.21
2024-01-14,20,161.62
2024-01-14,21,138.48
2024-01-14,22,112.19
2024-01-14,23,95.81
2024-01-15,0,101.29
2024-01-15,1,89.59
2024-01-15,2,84.41
2024-01-15,3,82.57
2024-01-15,4,80.67
2024-01-15,5,84.54
2024-01-15,6,97.12
2024-01-15,7,118.48
2024-01-15,8,139.95
2024-01-15,9,168.66
2024-01-15,10,190.14
2024-01-15,11,202.89
2024-01-15,12,209.43
2024-01-15,13,199.34
2024-01-15,14,192.27
2024-01-15,15,175.93
2024-01-15,16,179.48
2024-01-15,17,188.72
2024-01-15,18,206.93
2024-01-15,19,204.19
2024-01-15,20,176.94
2024-01-15,21,153.72
2024-01-15,22,126.96
2024-01-15,23,103.84
2024-01-16,0,99.31
2024-01-16,1,86.62
2024-01-16,2,80.36
2024-01-16,3,83.93
2024-01-16,4,80.51
2024-01-16,5,87.04
2024-01-16,6,101.45
2024-01-16,7,114.29
2024-01-16,8,135.05
2024-01-16,9,170.32
2024-01-16,10,184.09
2024-01-16,11,195.89
2024-01-16,12,213.13
2024-01-16,13,195.12
2024-01-16,14,188.15
2024-01-16,15,173.66
2024-01-16,16,183.5
2024-01-16,17,194.85
2024-01-16,18,201.66
2024-01-16,19,190.8
2024-01-16,20,183.31
2024-01-16,21,158.0
2024-01-16,22,125.65
2024-01-16,23,104.08
2024-01-17,0,99.54
2024-01-17,1,89.6
2024-01-17,2,83.72
2024-01-17,3,80.57
2024-01-17,4,79.27
2024-01-17,5,81.82
2024-01-17,6,103.23
2024-01-17,7,118.26
2024-01-17,8,131.58
2024-01-17,9,165.47
2024-01-17,10,184.71
2024-01-17,11,200.28
2024-01-17,12,209.93
2024-01-17,13,190.22
2024-01-17,14,187.29
2024-01-17,15,180.95
2024-01-17,16,189.82
2024-01-17,17,198.05
2024-01-17,18,213.85
2024-01-17,19,194.33
2024-01-17,20,183.99
2024-01-17,21,155.56
2024-01-17,22,119.79
2024-01-17,23,106.63
2024-01-18,0,100.66
2024-01-18,1,86.46
2024-01-18,2,84.04
2024-01-18,3,82.7
2024-01-18,4,76.43
2024-01-18,5,82.42
2024-01-18,6,103.54
2024-01-18,7,111.2
2024-01-18,8,139.3
2024-01-18,9,169.95
2024-01-18,10,184.78
2024-01-18,11,194.62
2024-01-18,12,211.45
2024-01-18,13,198.22
2024-01-18,14,191.72
2024-01-18,15,184.8
2024-01-18,16,180.61
2024-01-18,17,190.46
2024-01-18,18,201.29
2024-01-18,19,198.19
2024-01-18,20,176.44
2024-01-18,21,154.09
2024-01-18,22,129.62
2024-01-18,23,105.93
2024-01-19,0,101.78
2024-01-19,1,86.86
2024-01-19,2,82.91
2024-01-19,3,82.69
2024-01-19,4,78.16
2024-01-19,5,84.31
2024-01-19,6,101.02
2024-01-19,7,116.81
2024-01-19,8,139.15
2024-01-19,9,168.01
2024-01-19,10,193.02
2024-01-19,11,206.53
2024-01-19,12,213.94
2024-01-19,13,203.27
2024-01-19,14,185.74
2024-01-19,15,175.96
2024-01-19,16,180.11
2024-01-19,17,194.55
2024-01-19,18,207.72
2024-01-19,19,198.27
2024-01-19,20,179.26
2024-01-19,21,156.91
2024-01-19,22,126.82
2024-01-19,23,101.35
2024-01-20,0,92.36
2024-01-20,1,80.16
2024-01-20,2,75.56
2024-01-20,3,74.3
2024-01-20,4,72.18
2024-01-20,5,74.12
2024-01-20,6,88.02
2024-01-20,7,103.0
2024-01-20,8,123.98
2024-01-20,9,152.14
2024-01-20,10,165.1
2024-01-20,11,184.73
2024-01-20,12,191.64
2024-01-20,13,183.24
2024-01-20,14,173.48
2024-01-20,15,162.26
2024-01-20,16,165.33
2024-01-20,17,174.1
2024-01-20,18,181.27
2024-01-20,19,179.86
2024-01-20,20,162.62
2024-01-20,21,143.19
2024-01-20,22,111.29
2024-01-20,23,94.8
2024-01-21,0,90.45
2024-01-21,1,78.23
2024-01-21,2,77.3
2024-01-21,3,73.57
2024-01-21,4,70.0
2024-01-21,5,75.35
2024-01-21,6,87.59
2024-01-21,7,103.42
2024-01-21,8,124.35
2024-01-21,9,149.69
2024-01-21,10,178.35
2024-01-21,11,173.06
2024-01-21,12,191.71
2024-01-21,13,179.16
2024-01-21,14,169.36
2024-01-21,15,155.52
2024-01-21,16,166.87
2024-01-21,17,178.05
2024-01-21,18,182.44
2024-01-21,19,176.83
2024-01-21,20,168.64
2024-01-21,21,137.4
2024-01-21,22,114.82
2024-01-21,23,93.0
2024-01-22,0,99.99
2024-01-22,1,90.01
2024-01-22,2,85.03
2024-01-22,3,79.74
2024-01-22,4,80.62
2024-01-22,5,84.38
2024-01-22,6,100.23
2024-01-22,7,117.76
2024-01-22,8,139.58
2024-01-22,9,168.63
2024-01-22,10,193.66
2024-01-22,11,199.04
2024-01-22,12,207.69
2024-01-22,13,202.01
2024-01-22,14,187.79
2024-01-22,15,184.78
2024-01-22,16,183.3
2024-01-22,17,196.85
2024-01-22,18,208.68
2024-01-22,19,201.1
2024-01-22,20,171.06
2024-01-22,21,161.84
2024-01-22,22,127.75
2024-01-22,23,103.08
2024-01-23,0,101.09
2024-01-23,1,88.35
2024-01-23,2,86.05
2024-01-23,3,79.03
2024-01-23,4,80.38
2024-01-23,5,82.9
2024-01-23,6,102.04
2024-01-23,7,115.78
2024-01-23,8,137.87
2024-01-23,9,169.63
2024-01-23,10,179.21
2024-01-23,11,200.42
2024-01-23,12,214.82
2024-01-23,13,196.93
2024-01-23,14,185.8
2024-01-23,15,177.22
2024-01-23,16,188.49
2024-01-23,17,196.08
2024-01-23,18,204.12
2024-01-23,19,200.23
2024-01-23,20,181.6
2024-01-23,21,157.44
2024-01-23,22,123.13
2024-01-23,23,106.0
2024-01-24,0,100.89
2024-01-24,1,89.09
2024-01-24,2,86.75
2024-01-24,3,84.09
2024-01-24,4,78.45
2024-01-24,5,84.3
2024-01-24,6,103.59
2024-01-24,7,111.57
2024-01-24,8,134.98
2024-01-24,9,165.83
2024-01-24,10,191.68
2024-01-24,11,204.28
2024-01-24,12,211.68
2024-01-24,13,205.71
2024-01-24,14,183.69
2024-01-24,15,179.04
2024-01-24,16,180.82
2024-01-24,17,192.85
2024-01-24,18,214.1
2024-01-24,19,198.88
2024-01-24,20,183.34
2024-01-24,21,158.23
2024-01-24,22,125.48
2024-01-24,23,106.14
2024-01-25,0,100.03
2024-01-25,1,89.47
2024-01-25,2,85.53
2024-01-25,3,81.69
2024-01-25,4,78.28
2024-01-25,5,83.64
2024-01-25,6,101.75
2024-01-25,7,115.13
2024-01-25,8,135.56
2024-01-25,9,169.73
2024-01-25,10,192.59
2024-01-25,11,201.21
2024-01-25,12,208.89
2024-01-25,13,202.54
2024-01-25,14,190.59
2024-01-25,15,178.27
2024-01-25,16,182.41
2024-01-25,17,193.03
2024-01-25,18,204.26
2024-01-25,19,195.54
2024-01-25,20,177.76
2024-01-25,21,158.7
2024-01-25,22,126.8
2024-01-25,23,105.13
2024-01-26,0,101.97
2024-01-26,1,87.98
2024-01-26,2,84.41
2024-01-26,3,81.61
2024-01-26,4,79.44
2024-01-26,5,81.66
2024-01-26,6,99.59
2024-01-26,7,113.06
2024-01-26,8,136.06
2024-01-26,9,165.27
2024-01-26,10,185.43
2024-01-26,11,192.63
2024-01-26,12,207.37
2024-01-26,13,190.99
2024-01-26,14,192.61
2024-01-26,15,178.14
2024-01-26,16,187.95
2024-01-26,17,197.32
2024-01-26,18,205.17
2024-01-26,19,197.59
2024-01-26,20,180.52
2024-01-26,21,160.86
2024-01-26,22,123.55
2024-01-26,23,104.72
2024-01-27,0,90.64
2024-01-27,1,81.28
2024-01-27,2,76.45
2024-01-27,3,72.43
2024-01-27,4,70.59
2024-01-27,5,75.61
2024-01-27,6,86.66
2024-01-27,7,104.96
2024-01-27,8,121.82
2024-01-27,9,152.61
2024-01-27,10,167.78
2024-01-27,11,183.74
2024-01-27,12,188.7
2024-01-27,13,177.98
2024-01-27,14,174.66
2024-01-27,15,159.83
2024-01-27,16,162.91
2024-01-27,17,175.04
2024-01-27,18,186.41
2024-01-27,19,175.88
2024-01-27,20,160.29
2024-01-27,21,140.59
2024-01-27,22,118.08
2024-01-27,23,98.78
2024-01-28,0,87.65
2024-01-28,1,77.43
2024-01-28,2,75.61
2024-01-28,3,70.75
2024-01-28,4,71.12
2024-01-28,5,76.94
2024-01-28,6,89.36
2024-01-28,7,108.06
2024-01-28,8,122.71
2024-01-28,9,150.6
2024-01-28,10,166.87
2024-01-28,11,168.44
2024-01-28,12,185.09
2024-01-28,13,180.49
2024-01-28,14,166.06
2024-01-28,15,155.91
2024-01-28,16,167.93
2024-01-28,17,178.06
2024-01-28,18,181.86
2024-01-28,19,178.93
2024-01-28,20,167.08
2024-01-28,21,143.72
2024-01-28,22,112.49
2024-01-28,23,91.37
2024-01-29,0,98.96
2024-01-29,1,88.65
2024-01-29,2,82.15
2024-01-29,3,83.17
2024-01-29,4,77.35
2024-01-29,5,85.42
2024-01-29,6,98.97
2024-01-29,7,114.66
2024-01-29,8,137.43
2024-01-29,9,173.17
2024-01-29,10,189.53
2024-01-29,11,198.95
2024-01-29,12,210.65
2024-01-29,13,199.31
2024-01-29,14,180.21
2024-01-29,15,176.33
2024-01-29,16,182.34
2024-01-29,17,195.38
2024-01-29,18,214.42
2024-01-29,19,203.27
2024-01-29,20,175.67
2024-01-29,21,156.78
2024-01-29,22,126.92
2024-01-29,23,109.67
2024-01-30,0,99.55
2024-01-30,1,90.78
2024-01-30,2,83.15
2024-01-30,3,83.34
2024-01-30,4,78.17
2024-01-30,5,84.19
2024-01-30,6,101.18
2024-01-30,7,119.27
2024-01-30,8,136.45
2024-01-30,9,170.23
2024-01-30,10,187.89
2024-01-30,11,207.2
2024-01-30,12,211.01
2024-01-30,13,197.33
2024-01-30,14,186.12
2024-01-30,15,175.24
2024-01-30,16,178.91
2024-01-30,17,198.63
2024-01-30,18,208.31
2024-01-30,19,201.45
2024-01-30,20,177.65
2024-01-30,21,163.63
2024-01-30,22,125.87
2024-01-30,23,106.25
2024-01-31,0,99.64
2024-01-31,1,87.66
2024-01-31,2,83.16
2024-01-31,3,81.28
2024-01-31,4,79.69
2024-01-31,5,84.79
2024-01-31,6,102.83
2024-01-31,7,114.04
2024-01-31,8,131.2
2024-01-31,9,170.55
2024-01-31,10,191.42
2024-01-31,11,197.43
2024-01-31,12,205.42
2024-01-31,13,198.47
2024-01-31,14,187.7
2024-01-31,15,180.72
2024-01-31,16,177.29
2024-01-31,17,197.42
2024-01-31,18,201.16
2024-01-31,19,202.51
2024-01-31,20,181.83
2024-01-31,21,158.31
2024-01-31,22,130.67
2024-01-31,23,108.53
2024-02-01,0,97.13
2024-02-01,1,87.95
2024-02-01,2,82.85
2024-02-01,3,81.53
2024-02-01,4,74.66
2024-02-01,5,83.39
2024-02-01,6,99.32
2024-02-01,7,115.41
2024-02-01,8,136.26
2024-02-01,9,158.16
2024-02-01,10,187.42
2024-02-01,11,195.66
2024-02-01,12,207.78
2024-02-01,13,196.13
2024-02-01,14,186.68
2024-02-01,15,174.74
2024-02-01,16,172.83
2024-02-01,17,186.61
2024-02-01,18,198.38
2024-02-01,19,200.47
2024-02-01,20,171.92
2024-02-01,21,155.61
2024-02-01,22,124.49
2024-02-01,23,100.55
2024-02-02,0,99.84
2024-02-02,1,91.28
2024-02-02,2,82.18
2024-02-02,3,81.53
2024-02-02,4,76.03
2024-02-02,5,83.51
2024-02-02,6,97.83
2024-02-02,7,111.05
2024-02-02,8,135.16
2024-02-02,9,159.81
2024-02-02,10,193.12
2024-02-02,11,200.01
2024-02-02,12,210.69
2024-02-02,13,189.11
2024-02-02,14,190.96
2024-02-02,15,174.15
2024-02-02,16,181.87
2024-02-02,17,187.55
2024-02-02,18,190.95
2024-02-02,19,194.73
2024-02-02,20,178.0
2024-02-02,21,150.2
2024-02-02,22,124.03
2024-02-02,23,99.95
2024-02-03,0,86.77
2024-02-03,1,80.08
2024-02-03,2,72.67
2024-02-03,3,71.67
2024-02-03,4,70.0
2024-02-03,5,78.45
2024-02-03,6,87.2
2024-02-03,7,99.62
2024-02-03,8,122.65
2024-02-03,9,150.48
2024-02-03,10,164.14
2024-02-03,11,175.47
2024-02-03,12,181.45
2024-02-03,13,172.5
2024-02-03,14,160.63
2024-02-03,15,158.35
2024-02-03,16,160.49
2024-02-03,17,172.99
2024-02-03,18,179.43
2024-02-03,19,181.8
2024-02-03,20,157.91
2024-02-03,21,140.26
2024-02-03,22,112.74
2024-02-03,23,94.16
2024-02-04,0,87.62
2024-02-04,1,77.33
2024-02-04,2,73.79
2024-02-04,3,72.25
2024-02-04,4,70.0
2024-02-04,5,75.08
2024-02-04,6,86.28
2024-02-04,7,102.37
2024-02-04,8,121.01
2024-02-04,9,143.67
2024-02-04,10,165.59
2024-02-04,11,175.61
2024-02-04,12,189.68
2024-02-04,13,175.21
2024-02-04,14,165.3
2024-02-04,15,156.9
2024-02-04,16,164.94
2024-02-04,17,172.81
2024-02-04,18,182.11
2024-02-04,19,179.05
2024-02-04,20,152.2
2024-02-04,21,133.32
2024-02-04,22,109.92
2024-02-04,23,91.02
2024-02-05,0,99.36
2024-02-05,1,89.44
2024-02-05,2,85.1
2024-02-05,3,81.25
2024-02-05,4,78.87
2024-02-05,5,82.98
2024-02-05,6,99.69
2024-02-05,7,116.65
2024-02-05,8,138.23
2024-02-05,9,170.24
2024-02-05,10,180.09
2024-02-05,11,193.42
2024-02-05,12,206.36
2024-02-05,13,196.62
2024-02-05,14,181.14
2024-02-05,15,173.96
2024-02-05,16,177.73
2024-02-05,17,189.64
2024-02-05,18,192.94
2024-02-05,19,191.04
2024-02-05,20,173.87
2024-02-05,21,151.4
2024-02-05,22,123.32
2024-02-05,23,104.03
2024-02-06,0,97.99
2024-02-06,1,89.17
2024-02-06,2,83.02
2024-02-06,3,81.41
2024-02-06,4,76.65
2024-02-06,5,81.13
2024-02-06,6,95.26
2024-02-06,7,111.63
2024-02-06,8,134.79
2024-02-06,9,164.81
2024-02-06,10,184.01
2024-02-06,11,188.97
2024-02-06,12,209.01
2024-02-06,13,199.03
2024-02-06,14,189.97
2024-02-06,15,172.78
2024-02-06,16,175.38
2024-02-06,17,188.68
2024-02-06,18,206.28
2024-02-06,19,202.29
2024-02-06,20,175.03
2024-02-06,21,157.86
2024-02-06,22,120.86
2024-02-06,23,105.84
2024-02-07,0,100.61
2024-02-07,1,84.33
2024-02-07,2,80.89
2024-02-07,3,79.96
2024-02-07,4,75.5
2024-02-07,5,80.97
2024-02-07,6,98.04
2024-02-07,7,115.54
2024-02-07,8,134.13
2024-02-07,9,164.5
2024-02-07,10,185.79
2024-02-07,11,189.11
2024-02-07,12,210.14
2024-02-07,13,200.91
2024-02-07,14,182.27
2024-02-07,15,174.14
2024-02-07,16,183.9
2024-02-07,17,187.59
2024-02-07,18,199.32
2024-02-07,19,191.71
2024-02-07,20,177.33
2024-02-07,21,156.52
2024-02-07,22,124.15
2024-02-07,23,103.31
2024-02-08,0,94.5
2024-02-08,1,88.82
2024-02-08,2,82.97
2024-02-08,3,84.29
2024-02-08,4,73.13
2024-02-08,5,80.38
2024-02-08,6,97.98
2024-02-08,7,114.73
2024-02-08,8,128.76
2024-02-08,9,175.06
2024-02-08,10,183.46
2024-02-08,11,195.1
2024-02-08,12,212.79
2024-02-08,13,200.3
2024-02-08,14,181.74
2024-02-08,15,180.13
2024-02-08,16,179.17
2024-02-08,17,196.57
2024-02-08,18,200.06
2024-02-08,19,201.58
2024-02-08,20,177.02
2024-02-08,21,157.08
2024-02-08,22,123.06
2024-02-08,23,96.91
2024-02-09,0,95.65
2024-02-09,1,87.92
2024-02-09,2,84.31
2024-02-09,3,82.5
2024-02-09,4,75.87
2024-02-09,5,79.95
2024-02-09,6,97.04
2024-02-09,7,112.56
2024-02-09,8,132.48
2024-02-09,9,162.02
2024-02-09,10,189.28
2024-02-09,11,195.63
2024-02-09,12,208.44
2024-02-09,13,201.19
2024-02-09,14,187.68
2024-02-09,15,173.62
2024-02-09,16,178.68
2024-02-09,17,193.35
2024-02-09,18,199.63
2024-02-09,19,198.73
2024-02-09,20,174.32
2024-02-09,21,160.59
2024-02-09,22,124.17
2024-02-09,23,104.71
2024-02-10,0,87.66
2024-02-10,1,79.25
2024-02-10,2,71.81
2024-02-10,3,74.91
2024-02-10,4,70.0
2024-02-10,5,75.09
2024-02-10,6,88.69
2024-02-10,7,103.38
2024-02-10,8,120.81
2024-02-10,9,148.51
2024-02-10,10,165.33
2024-02-10,11,172.06
2024-02-10,12,182.69
2024-02-10,13,176.73
2024-02-10,14,163.77
2024-02-10,15,155.37
2024-02-10,16,161.08
2024-02-10,17,166.6
2024-02-10,18,175.69
2024-02-10,19,173.0
2024-02-10,20,160.26
2024-02-10,21,140.13
2024-02-10,22,114.38
2024-02-10,23,92.0
2024-02-11,0,91.15
2024-02-11,1,79.42
2024-02-11,2,70.0
2024-02-11,3,70.72
2024-02-11,4,70.0
2024-02-11,5,76.14
2024-02-11,6,87.01
2024-02-11,7,101.07
2024-02-11,8,120.5
2024-02-11,9,148.16
2024-02-11,10,164.53
2024-02-11,11,173.26
2024-02-11,12,180.42
2024-02-11,13,178.24
2024-02-11,14,163.79
2024-02-11,15,155.92
2024-02-11,16,165.51
2024-02-11,17,167.98
2024-02-11,18,178.86
2024-02-11,19,177.5
2024-02-11,20,152.61
2024-02-11,21,134.83
2024-02-11,22,112.48
2024-02-11,23,91.27
2024-02-12,0,96.23
2024-02-12,1,87.44
2024-02-12,2,81.78
2024-02-12,3,80.32
2024-02-12,4,78.17
2024-02-12,5,80.75
2024-02-12,6,100.07
2024-02-12,7,111.85
2024-02-12,8,135.12
2024-02-12,9,161.35
2024-02-12,10,186.74
2024-02-12,11,197.69
2024-02-12,12,201.22
2024-02-12,13,193.36
2024-02-12,14,177.93
2024-02-12,15,178.44
2024-02-12,16,178.15
2024-02-12,17,193.3
2024-02-12,18,206.77
2024-02-12,19,196.01
2024-02-12,20,171.41
2024-02-12,21,158.08
2024-02-12,22,119.87
2024-02-12,23,101.7
2024-02-13,0,99.09
2024-02-13,1,87.57
2024-02-13,2,84.61
2024-02-13,3,79.05
2024-02-13,4,77.27
2024-02-13,5,80.13
2024-02-13,6,97.52
2024-02-13,7,117.71
2024-02-13,8,135.64
2024-02-13,9,170.02
2024-02-13,10,186.12
2024-02-13,11,195.44
2024-02-13,12,199.08
2024-02-13,13,201.7
2024-02-13,14,184.92
2024-02-13,15,168.73
2024-02-13,16,178.67
2024-02-13,17,196.07
2024-02-13,18,198.35
2024-02-13,19,195.55
2024-02-13,20,173.49
2024-02-13,21,157.53
2024-02-13,22,119.9
2024-02-13,23,102.79
2024-02-14,0,98.95
2024-02-14,1,87.64
2024-02-14,2,81.23
2024-02-14,3,79.26
2024-02-14,4,76.4
2024-02-14,5,85.42
2024-02-14,6,97.41
2024-02-14,7,113.08
2024-02-14,8,134.22
2024-02-14,9,164.33
2024-02-14,10,183.94
2024-02-14,11,198.25
2024-02-14,12,206.33
2024-02-14,13,199.51
2024-02-14,14,190.56
2024-02-14,15,173.18
2024-02-14,16,182.6
2024-02-14,17,187.53
