Hour,Mall_Load_kWh,EV_Demand_kWh,Total_Demand_kWh
326,1576.05,150.96,1727.01
327,1576.05,166.06,1742.11
328,1838.72,188.70,2027.42
329,2101.40,211.35,2312.74
330,2101.40,188.70,2290.10
331,1838.72,150.96,1989.68
332,1576.05,113.22,1689.27
333,1313.37,75.48,1388.85
334,1050.70,60.39,1111.08
335,788.02,45.29,833.31
336,788.02,37.74,825.76
337,788.02,30.19,818.22
338,788.02,22.64,810.67
339,788.02,22.64,810.67
340,788.02,22.64,810.67
341,1050.70,37.74,1088.44
342,1313.37,75.48,1388.85
343,1576.05,135.87,1711.91
344,1838.72,188.70,2027.42
345,1838.72,211.35,2050.07
346,1838.72,211.35,2050.07
347,1576.05,188.70,1764.75
348,1576.05,150.96,1727.01
349,1576.05,135.87,1711.91
350,1576.05,150.96,1727.01
351,1576.05,166.06,1742.11
352,1838.72,188.70,2027.42
353,2101.40,211.35,2312.74
354,2101.40,188.70,2290.10
355,1838.72,150.96,1989.68
356,1576.05,113.22,1689.27
357,1313.37,75.48,1388.85
358,1050.70,60.39,1111.08
359,788.02,45.29,833.31
360,788.02,37.74,825.76
361,788.02,30.19,818.22
362,788.02,22.64,810.67
363,788.02,22.64,810.67
364,788.02,22.64,810.67
365,1050.70,37.74,1088.44
366,1313.37,75.48,1388.85
367,1576.05,135.87,1711.91
368,1838.72,188.70,2027.42
369,1838.72,211.35,2050.07
370,1838.72,211.35,2050.07
371,1576.05,188.70,1764.75
372,1576.05,150.96,1727.01
373,1576.05,135.87,1711.91
374,1576.05,150.96,1727.01
375,1576.05,166.06,1742.11
376,1838.72,188.70,2027.42
377,2101.40,211.35,2312.74
378,2101.40,188.70,2290.10
379,1838.72,150.96,1989.68
380,1576.05,113.22,1689.27
381,1313.37,75.48,1388.85
382,1050.70,60.39,1111.08
383,788.02,45.29,833.31
384,788.02,37.74,825.76
385,788.02,30.19,818.22
386,788.02,22.64,810.67
387,788.02,22.64,810.67
388,788.02,22.64,810.67
389,1050.70,37.74,1088.44
390,1313.37,75.48,1388.85
391,1576.05,135.87,1711.91
392,1838.72,188.70,2027.42
393,1838.72,211.35,2050.07
394,1838.72,211.35,2050.07
395,1576.05,188.70,1764.75
396,1576.05,150.96,1727.01
397,1576.05,135.87,1711.91
398,1576.05,150.96,1727.01
399,1576.05,166.06,1742.11
400,1838.72,188.70,2027.42
401,2101.40,211.35,2312.74
402,2101.40,188.70,2290.10
403,1838.72,150.96,1989.68
404,1576.05,113.22,1689.27
405,1313.37,75.48,1388.85
406,1050.70,60.39,1111.08
407,788.02,45.29,833.31
408,788.02,37.74,825.76
409,788.02,30.19,818.22
410,788.02,22.64,810.67
411,788.02,22.64,810.67
412,788.02,22.64,810.67
413,1050.70,37.74,1088.44
414,1313.37,75.48,1388.85
415,1576.05,135.87,1711.91
416,1838.72,188.70,2027.42
417,1838.72,211.35,2050.07
418,1838.72,211.35,2050.07
419,1576.05,188.70,1764.75
420,1576.05,150.96,1727.01
421,1576.05,135.87,1711.91
422,1576.05,150.96,1727.01
423,1576.05,166.06,1742.11
424,1838.72,188.70,2027.42
425,2101.40,211.35,2312.74
426,2101.40,188.70,2290.10
427,1838.72,150.96,1989.68
428,1576.05,113.22,1689.27
429,1313.37,75.48,1388.85
430,1050.70,60.39,1111.08
431,788.02,45.29,833.31
432,788.02,37.74,825.76
433,788.02,30.19,818.22
434,788.02,22.64,810.67
435,788.02,22.64,810.67
436,788.02,22.64,810.67
437,1050.70,37.74,1088.44
438,1313.37,75.48,1388.85
439,1576.05,135.87,1711.91
440,1838.72,188.70,2027.42
441,1838.72,211.35,2050.07
442,1838.72,211.35,2050.07
443,1576.05,188.70,1764.75
444,1576.05,150.96,1727.01
445,1576.05,135.87,1711.91
446,1576.05,150.96,1727.01
447,1576.05,166.06,1742.11
448,1838.72,188.70,2027.42
449,2101.40,211.35,2312.74
450,2101.40,188.70,2290.10
451,1838.72,150.96,1989.68
452,1576.05,113.22,1689.27
453,1313.37,75.48,1388.85
454,1050.70,60.39,1111.08
455,788.02,45.29,833.31
456,788.02,37.74,825.76
457,788.02,30.19,818.22
458,788.02,22.64,810.67
459,788.02,22.64,810.67
460,788.02,22.64,810.67
461,1050.70,37.74,1088.44
462,1313.37,75.48,1388.85
463,1576.05,135.87,1711.91
464,1838.72,188.70,2027.42
465,1838.72,211.35,2050.07
466,1838.72,211.35,2050.07
467,1576.05,188.70,1764.75
468,1576.05,150.96,1727.01
469,1576.05,135.87,1711.91
470,1576.05,150.96,1727.01
471,1576.05,166.06,1742.11
472,1838.72,188.70,2027.42
473,2101.40,211.35,2312.74
474,2101.40,188.70,2290.10
475,1838.72,150.96,1989.68
476,1576.05,113.22,1689.27
477,1313.37,75.48,1388.85
478,1050.70,60.39,1111.08
479,788.02,45.29,833.31
480,788.02,37.74,825.76
481,788.02,30.19,818.22
482,788.02,22.64,810.67
483,788.02,22.64,810.67
484,788.02,22.64,810.67
485,1050.70,37.74,1088.44
486,1313.37,75.48,1388.85
487,1576.05,135.87,1711.91
488,1838.72,188.70,2027.42
489,1838.72,211.35,2050.07
490,1838.72,211.35,2050.07
491,1576.05,188.70,1764.75
492,1576.05,150.96,1727.01
493,1576.05,135.87,1711.91
494,1576.05,150.96,1727.01
495,1576.05,166.06,1742.11
496,1838.72,188.70,2027.42
497,2101.40,211.35,2312.74
498,2101.40,188.70,2290.10
499,1838.72,150.96,1989.68
500,1576.05,113.22,1689.27
501,1313.37,75.48,1388.85
502,1050.70,60.39,1111.08
503,788.02,45.29,833.31
504,788.02,37.74,825.76
505,788.02,30.19,818.22
506,788.02,22.64,810.67
507,788.02,22.64,810.67
508,788.02,22.64,810.67
509,1050.70,37.74,1088.44
510,1313.37,75.48,1388.85
511,1576.05,135.87,1711.91
512,1838.72,188.70,2027.42
513,1838.72,211.35,2050.07
514,1838.72,211.35,2050.07
515,1576.05,188.70,1764.75
516,1576.05,150.96,1727.01
517,1576.05,135.87,1711.91
518,1576.05,150.96,1727.01
519,1576.05,166.06,1742.11
520,1838.72,188.70,2027.42
521,2101.40,211.35,2312.74
522,2101.40,188.70,2290.10
523,1838.72,150.96,1989.68
524,1576.05,113.22,1689.27
525,1313.37,75.48,1388.85
526,1050.70,60.39,1111.08
527,788.02,45.29,833.31
528,788.02,37.74,825.76
529,788.02,30.19,818.22
530,788.02,22.64,810.67
531,788.02,22.64,810.67
532,788.02,22.64,810.67
533,1050.70,37.74,1088.44
534,1313.37,75.48,1388.85
535,1576.05,135.87,1711.91
536,1838.72,188.70,2027.42
537,1838.72,211.35,2050.07
538,1838.72,211.35,2050.07
539,1576.05,188.70,1764.75
540,1576.05,150.96,1727.01
541,1576.05,135.87,1711.91
542,1576.05,150.96,1727.01
543,1576.05,166.06,1742.11
544,1838.72,188.70,2027.42
545,2101.40,211.35,2312.74
546,2101.40,188.70,2290.10
547,1838.72,150.96,1989.68
548,1576.05,113.22,1689.27
549,1313.37,75.48,1388.85
550,1050.70,60.39,1111.08
551,788.02,45.29,833.31
552,788.02,37.74,825.76
553,788.02,30.19,818.22
554,788.02,22.64,810.67
555,788.02,22.64,810.67
556,788.02,22.64,810.67
557,1050.70,37.74,1088.44
558,1313.37,75.48,1388.85
559,1576.05,135.87,1711.91
560,1838.72,188.70,2027.42
561,1838.72,211.35,2050.07
562,1838.72,211.35,2050.07
563,1576.05,188.70,1764.75
564,1576.05,150.96,1727.01
565,1576.05,135.87,1711.91
566,1576.05,150.96,1727.01
567,1576.05,166.06,1742.11
568,1838.72,188.70,2027.42
569,2101.40,211.35,2312.74
570,2101.40,188.70,2290.10
571,1838.72,150.96,1989.68
572,1576.05,113.22,1689.27
573,1313.37,75.48,1388.85
574,1050.70,60.39,1111.08
575,788.02,45.29,833.31
576,788.02,37.74,825.76
577,788.02,30.19,818.22
578,788.02,22.64,810.67
579,788.02,22.64,810.67
580,788.02,22.64,810.67
581,1050.70,37.74,1088.44
582,1313.37,75.48,1388.85
583,1576.05,135.87,1711.91
584,1838.72,188.70,2027.42
585,1838.72,211.35,2050.07
586,1838.72,211.35,2050.07
587,1576.05,188.70,1764.75
588,1576.05,150.96,1727.01
589,1576.05,135.87,1711.91
590,1576.05,150.96,1727.01
591,1576.05,166.06,1742.11
592,1838.72,188.70,2027.42
593,2101.40,211.35,2312.74
594,2101.40,188.70,2290.10
595,1838.72,150.96,1989.68
596,1576.05,113.22,1689.27
597,1313.37,75.48,1388.85
598,1050.70,60.39,1111.08
599,788.02,45.29,833.31
600,788.02,37.74,825.76
601,788.02,30.19,818.22
602,788.02,22.64,810.67
603,788.02,22.64,810.67
604,788.02,22.64,810.67
605,1050.70,37.74,1088.44
606,1313.37,75.48,1388.85
607,1576.05,135.87,1711.91
608,1838.72,188.70,2027.42
609,1838.72,211.35,2050.07
610,1838.72,211.35,2050.07
611,1576.05,188.70,1764.75
612,1576.05,150.96,1727.01
613,1576.05,135.87,1711.91
614,1576.05,150.96,1727.01
615,1576.05,166.06,1742.11
616,1838.72,188.70,2027.42
617,2101.40,211.35,2312.74
618,2101.40,188.70,2290.10
619,1838.72,150.96,1989.68
620,1576.05,113.22,1689.27
621,1313.37,75.48,1388.85
622,1050.70,60.39,1111.08
623,788.02,45.29,833.31
624,788.02,37.74,825.76
625,788.02,30.19,818.22
626,788.02,22.64,810.67
627,788.02,22.64,810.67
628,788.02,22.64,810.67
629,1050.70,37.74,1088.44
630,1313.37,75.48,1388.85
631,1576.05,135.87,1711.91
632,1838.72,188.70,2027.42
633,1838.72,211.35,2050.07
634,1838.72,211.35,2050.07
635,1576.05,188.70,1764.75
636,1576.05,150.96,1727.01
637,1576.05,135.87,1711.91
638,1576.05,150.96,1727.01
639,1576.05,166.06,1742.11
640,1838.72,188.70,2027.42
641,2101.40,211.35,2312.74
642,2101.40,188.70,2290.10
643,1838.72,150.96,1989.68
644,1576.05,113.22,1689.27
645,1313.37,75.48,1388.85
646,1050.70,60.39,1111.08
647,788.02,45.29,833.31
648,788.02,37.74,825.76
649,788.02,30.19,818.22
650,788.02,22.64,810.67
651,788.02,22.64,810.67
652,788.02,22.64,810.67
653,1050.70,37.74,1088.44
654,1313.37,75.48,1388.85
655,1576.05,135.87,1711.91
656,1838.72,188.70,2027.42
657,1838.72,211.35,2050.07
658,1838.72,211.35,2050.07
659,1576.05,188.70,1764.75
660,1576.05,150.96,1727.01
661,1576.05,135.87,1711.91
662,1576.05,150.96,1727.01
663,1576.05,166.06,1742.11
664,1838.72,188.70,2027.42
665,2101.40,211.35,2312.74
666,2101.40,188.70,2290.10
667,1838.72,150.96,1989.68
668,1576.05,113.22,1689.27
669,1313.37,75.48,1388.85
670,1050.70,60.39,1111.08
671,788.02,45.29,833.31
672,788.02,37.74,825.76
673,788.02,30.19,818.22
674,788.02,22.64,810.67
675,788.02,22.64,810.67
676,788.02,22.64,810.67
677,1050.70,37.74,1088.44
678,1313.37,75.48,1388.85
679,1576.05,135.87,1711.91
680,1838.72,188.70,2027.42
681,1838.72,211.35,2050.07
682,1838.72,211.35,2050.07
683,1576.05,188.70,1764.75
684,1576.05,150.96,1727.01
685,1576.05,135.87,1711.91
686,1576.05,150.96,1727.01
687,1576.05,166.06,1742.11
688,1838.72,188.70,2027.42
689,2101.40,211.35,2312.74
690,2101.40,188.70,2290.10
691,1838.72,150.96,1989.68
692,1576.05,113.22,1689.27
693,1313.37,75.48,1388.85
694,1050.70,60.39,1111.08
695,788.02,45.29,833.31
696,788.02,37.74,825.76
697,788.02,30.19,818.22
698,788.02,22.64,810.67
699,788.02,22.64,810.67
700,788.02,22.64,810.67
701,1050.70,37.74,1088.44
702,1313.37,75.48,1388.85
703,1576.05,135.87,1711.91
704,1838.72,188.70,2027.42
705,1838.72,211.35,2050.07
706,1838.72,211.35,2050.07
707,1576.05,188.70,1764.75
708,1576.05,150.96,1727.01
709,1576.05,135.87,1711.91
710,1576.05,150.96,1727.01
711,1576.05,166.06,1742.11
712,1838.72,188.70,2027.42
713,2101.40,211.35,2312.74
714,2101.40,188.70,2290.10
715,1838.72,150.96,1989.68
716,1576.05,113.22,1689.27
717,1313.37,75.48,1388.85
718,1050.70,60.39,1111.08
719,788.02,45.29,833.31
720,788.02,37.74,825.76
721,788.02,30.19,818.22
722,788.02,22.64,810.67
723,788.02,22.64,810.67
724,788.02,22.64,810.67
725,1050.70,37.74,1088.44
726,1313.37,75.48,1388.85
727,1576.05,135.87,1711.91
728,1838.72,188.70,2027.42
729,1838.72,211.35,2050.07
730,1838.72,211.35,2050.07
731,1576.05,188.70,1764.75
732,1576.05,150.96,1727.01
733,1576.05,135.87,1711.91
734,1576.05,150.96,1727.01
735,1576.05,166.06,1742.11
736,1838.72,188.70,2027.42
737,2101.40,211.35,2312.74
738,2101.40,188.70,2290.10
739,1838.72,150.96,1989.68
740,1576.05,113.22,1689.27
741,1313.37,75.48,1388.85
742,1050.70,60.39,1111.08
743,788.02,45.29,833.31
744,788.02,37.74,825.76
745,788.02,30.19,818.22
746,788.02,22.64,810.67
747,788.02,22.64,810.67
748,788.02,22.64,810.67
749,1050.70,37.74,1088.44
750,1313.37,75.48,1388.85
751,1576.05,135.87,1711.91
752,1838.72,188.70,2027.42
753,1838.72,211.35,2050.07
754,1838.72,211.35,2050.07
755,1576.05,188.70,1764.75
756,1576.05,150.96,1727.01
757,1576.05,135.87,1711.91
758,1576.05,150.96,1727.01
759,1576.05,166.06,1742.11
760,1838.72,188.70,2027.42
761,2101.40,211.35,2312.74
762,2101.40,188.70,2290.10
763,1838.72,150.96,1989.68
764,1576.05,113.22,1689.27
765,1313.37,75.48,1388.85
766,1050.70,60.39,1111.08
767,788.02,45.29,833.31
768,788.02,37.74,825.76
769,788.02,30.19,818.22
770,788.02,22.64,810.67
771,788.02,22.64,810.67
772,788.02,22.64,810.67
773,1050.70,37.74,1088.44
774,1313.37,75.48,1388.85
775,1576.05,135.87,1711.91
776,1838.72,188.70,2027.42
777,1838.72,211.35,2050.07
778,1838.72,211.35,2050.07
779,1576.05,188.70,1764.75
780,1576.05,150.96,1727.01
781,1576.05,135.87,1711.91
782,1576.05,150.96,1727.01
783,1576.05,166.06,1742.11
784,1838.72,188.70,2027.42
785,2101.40,211.35,2312.74
786,2101.40,188.70,2290.10
787,1838.72,150.96,1989.68
788,1576.05,113.22,1689.27
789,1313.37,75.48,1388.85
790,1050.70,60.39,1111.08
791,788.02,45.29,833.31
792,788.02,37.74,825.76
793,788.02,30.19,818.22
794,788.02,22.64,810.67
795,788.02,22.64,810.67
796,788.02,22.64,810.67
797,1050.70,37.74,1088.44
798,1313.37,75.48,1388.85
799,1576.05,135.87,1711.91
800,1838.72,188.70,2027.42
801,1838.72,211.35,2050.07
802,1838.72,211.35,2050.07
803,1576.05,188.70,1764.75
804,1576.05,150.96,1727.01
805,1576.05,135.87,1711.91
806,1576.05,150.96,1727.01
807,1576.05,166.06,1742.11
808,1838.72,188.70,2027.42
809,2101.40,211.35,2312.74
810,2101.40,188.70,2290.10
811,1838.72,150.96,1989.68
812,1576.05,113.22,1689.27
813,1313.37,75.48,1388.85
814,1050.70,60.39,1111.08
815,788.02,45.29,833.31
816,788.02,37.74,825.76
817,788.02,30.19,818.22
818,788.02,22.64,810.67
819,788.02,22.64,810.67
820,788.02,22.64,810.67
821,1050.70,37.74,1088.44
822,1313.37,75.48,1388.85
823,1576.05,135.87,1711.91
824,1838.72,188.70,2027.42
825,1838.72,211.35,2050.07
826,1838.72,211.35,2050.07
827,1576.05,188.70,1764.75
828,1576.05,150.96,1727.01
829,1576.05,135.87,1711.91
830,1576.05,150.96,1727.01
831,1576.05,166.06,1742.11
832,1838.72,188.70,2027.42
833,2101.40,211.35,2312.74
834,2101.40,188.70,2290.10
835,1838.72,150.96,1989.68
836,1576.05,113.22,1689.27
837,1313.37,75.48,1388.85
838,1050.70,60.39,1111.08
839,788.02,45.29,833.31
840,788.02,37.74,825.76
841,788.02,30.19,818.22
842,788.02,22.64,810.67
843,788.02,22.64,810.67
844,788.02,22.64,810.67
845,1050.70,37.74,1088.44
846,1313.37,75.48,1388.85
847,1576.05,135.87,1711.91
848,1838.72,188.70,2027.42
849,1838.72,211.35,2050.07
850,1838.72,211.35,2050.07
851,1576.05,188.70,1764.75
852,1576.05,150.96,1727.01
853,1576.05,135.87,1711.91
854,1576.05,150.96,1727.01
855,1576.05,166.06,1742.11
856,1838.72,188.70,2027.42
857,2101.40,211.35,2312.74
858,2101.40,188.70,2290.10
859,1838.72,150.96,1989.68
860,1576.05,113.22,1689.27
861,1313.37,75.48,1388.85
862,1050.70,60.39,1111.08
863,788.02,45.29,833.31
864,788.02,37.74,825.76
865,788.02,30.19,818.22
866,788.02,22.64,810.67
867,788.02,22.64,810.67
868,788.02,22.64,810.67
869,1050.70,37.74,1088.44
870,1313.37,75.48,1388.85
871,1576.05,135.87,1711.91
872,1838.72,188.70,2027.42
873,1838.72,211.35,2050.07
874,1838.72,211.35,2050.07
875,1576.05,188.70,1764.75
876,1576.05,150.96,1727.01
877,1576.05,135.87,1711.91
878,1576.05,150.96,1727.01
879,1576.05,166.06,1742.11
880,1838.72,188.70,2027.42
881,2101.40,211.35,2312.74
882,2101.40,188.70,2290.10
883,1838.72,150.96,1989.68
884,1576.05,113.22,1689.27
885,1313.37,75.48,1388.85
886,1050.70,60.39,1111.08
887,788.02,45.29,833.31
888,788.02,37.74,825.76
889,788.02,30.19,818.22
890,788.02,22.64,810.67
891,788.02,22.64,810.67
892,788.02,22.64,810.67
893,1050.70,37.74,1088.44
894,1313.37,75.48,1388.85
895,1576.05,135.87,1711.91
896,1838.72,188.70,2027.42
897,1838.72,211.35,2050.07
