Hour,PV_Generation_kWh,Total_Demand_kWh,Solar_Surplus_Deficit_kWh,PV_Coverage_Percent
295,932.20,1711.91,-779.71,54.45
296,1346.00,2027.42,-681.42,66.39
297,1791.14,2050.07,-258.93,87.37
298,2196.65,2050.07,146.58,107.15
299,2482.79,1764.75,718.04,140.69
300,2586.23,1727.01,859.22,149.75
301,2482.79,1711.91,770.88,145.03
302,2196.65,1727.01,469.64,127.19
303,1791.14,1742.11,49.04,102.81
304,1346.00,2027.42,-681.42,66.39
305,932.20,2312.74,-1380.54,40.31
306,0.00,2290.10,-2290.10,0.00
307,0.00,1989.68,-1989.68,0.00
308,0.00,1689.27,-1689.27,0.00
309,0.00,1388.85,-1388.85,0.00
310,0.00,1111.08,-1111.08,0.00
311,0.00,833.31,-833.31,0.00
312,0.00,825.76,-825.76,0.00
313,0.00,818.22,-818.22,0.00
314,0.00,810.67,-810.67,0.00
315,0.00,810.67,-810.67,0.00
316,0.00,810.67,-810.67,0.00
317,350.14,1088.44,-738.30,32.17
318,595.23,1388.85,-793.63,42.86
319,932.55,1711.91,-779.37,54.47
320,1346.50,2027.42,-680.92,66.41
321,1791.81,2050.07,-258.26,87.40
322,2197.47,2050.07,147.40,107.19
323,2483.72,1764.75,718.97,140.74
324,2587.19,1727.01,860.18,149.81
325,2483.72,1711.91,771.80,145.08
326,2197.47,1727.01,470.46,127.24
327,1791.81,1742.11,49.70,102.85
328,1346.50,2027.42,-680.92,66.41
329,932.55,2312.74,-1380.20,40.32
330,0.00,2290.10,-2290.10,0.00
331,0.00,1989.68,-1989.68,0.00
332,0.00,1689.27,-1689.27,0.00
333,0.00,1388.85,-1388.85,0.00
334,0.00,1111.08,-1111.08,0.00
335,0.00,833.31,-833.31,0.00
336,0.00,825.76,-825.76,0.00
337,0.00,818.22,-818.22,0.00
338,0.00,810.67,-810.67,0.00
339,0.00,810.67,-810.67,0.00
340,0.00,810.67,-810.67,0.00
341,350.27,1088.44,-738.16,32.18
342,595.46,1388.85,-793.40,42.87
343,932.91,1711.91,-779.00,54.50
344,1347.02,2027.42,-680.40,66.44
345,1792.50,2050.07,-257.57,87.44
346,2198.32,2050.07,148.25,107.23
347,2484.68,1764.75,719.93,140.79
348,2588.19,1727.01,861.18,149.87
349,2484.68,1711.91,772.76,145.14
350,2198.32,1727.01,471.31,127.29
351,1792.50,1742.11,50.40,102.89
352,1347.02,2027.42,-680.40,66.44
353,932.91,2312.74,-1379.84,40.34
354,0.00,2290.10,-2290.10,0.00
355,0.00,1989.68,-1989.68,0.00
356,0.00,1689.27,-1689.27,0.00
357,0.00,1388.85,-1388.85,0.00
358,0.00,1111.08,-1111.08,0.00
359,0.00,833.31,-833.31,0.00
360,0.00,825.76,-825.76,0.00
361,0.00,818.22,-818.22,0.00
362,0.00,810.67,-810.67,0.00
363,0.00,810.67,-810.67,0.00
364,0.00,810.67,-810.67,0.00
365,350.41,1088.44,-738.02,32.19
366,595.69,1388.85,-793.16,42.89
367,933.28,1711.91,-778.63,54.52
368,1347.56,2027.42,-679.86,66.47
369,1793.22,2050.07,-256.85,87.47
370,2199.20,2050.07,149.13,107.27
371,2485.67,1764.75,720.92,140.85
372,2589.23,1727.01,862.22,149.93
373,2485.67,1711.91,773.76,145.20
374,2199.20,1727.01,472.19,127.34
375,1793.22,1742.11,51.11,102.93
376,1347.56,2027.42,-679.86,66.47
377,933.28,2312.74,-1379.46,40.35
378,0.00,2290.10,-2290.10,0.00
379,0.00,1989.68,-1989.68,0.00
380,0.00,1689.27,-1689.27,0.00
381,0.00,1388.85,-1388.85,0.00
382,0.00,1111.08,-1111.08,0.00
383,0.00,833.31,-833.31,0.00
384,0.00,825.76,-825.76,0.00
385,0.00,818.22,-818.22,0.00
386,0.00,810.67,-810.67,0.00
387,0.00,810.67,-810.67,0.00
388,0.00,810.67,-810.67,0.00
389,350.56,1088.44,-737.88,32.21
390,595.94,1388.85,-792.91,42.91
391,933.67,1711.91,-778.24,54.54
392,1348.12,2027.42,-679.30,66.49
393,1793.96,2050.07,-256.11,87.51
394,2200.11,2050.07,150.04,107.32
395,2486.70,1764.75,721.95,140.91
396,2590.30,1727.01,863.29,149.99
397,2486.70,1711.91,774.79,145.26
398,2200.11,1727.01,473.10,127.39
399,1793.96,1742.11,51.86,102.98
400,1348.12,2027.42,-679.30,66.49
401,933.67,2312.74,-1379.07,40.37
402,0.00,2290.10,-2290.10,0.00
403,0.00,1989.68,-1989.68,0.00
404,0.00,1689.27,-1689.27,0.00
405,0.00,1388.85,-1388.85,0.00
406,0.00,1111.08,-1111.08,0.00
407,0.00,833.31,-833.31,0.00
408,0.00,825.76,-825.76,0.00
409,0.00,818.22,-818.22,0.00
410,0.00,810.67,-810.67,0.00
411,0.00,810.67,-810.67,0.00
412,0.00,810.67,-810.67,0.00
413,350.71,1088.44,-737.73,32.22
414,596.20,1388.85,-792.66,42.93
415,934.07,1711.91,-777.85,54.56
416,1348.70,2027.42,-678.73,66.52
417,1794.73,2050.07,-255.34,87.54
418,2201.05,2050.07,150.98,107.36
419,2487.77,1764.75,723.02,140.97
420,2591.41,1727.01,864.40,150.05
421,2487.77,1711.91,775.85,145.32
422,2201.05,1727.01,474.04,127.45
423,1794.73,1742.11,52.62,103.02
424,1348.70,2027.42,-678.73,66.52
425,934.07,2312.74,-1378.68,40.39
426,0.00,2290.10,-2290.10,0.00
427,0.00,1989.68,-1989.68,0.00
428,0.00,1689.27,-1689.27,0.00
429,0.00,1388.85,-1388.85,0.00
430,0.00,1111.08,-1111.08,0.00
431,0.00,833.31,-833.31,0.00
432,0.00,825.76,-825.76,0.00
433,0.00,818.22,-818.22,0.00
434,0.00,810.67,-810.67,0.00
435,0.00,810.67,-810.67,0.00
436,0.00,810.67,-810.67,0.00
437,350.86,1088.44,-737.57,32.24
438,596.46,1388.85,-792.39,42.95
439,934.48,1711.91,-777.43,54.59
440,1349.29,2027.42,-678.13,66.55
441,1795.52,2050.07,-254.55,87.58
442,2202.02,2050.07,151.96,107.41
443,2488.86,1764.75,724.11,141.03
444,2592.55,1727.01,865.54,150.12
445,2488.86,1711.91,776.95,145.38
446,2202.02,1727.01,475.02,127.51
447,1795.52,1742.11,53.42,103.07
448,1349.29,2027.42,-678.13,66.55
449,934.48,2312.74,-1378.26,40.41
450,0.00,2290.10,-2290.10,0.00
451,0.00,1989.68,-1989.68,0.00
452,0.00,1689.27,-1689.27,0.00
453,0.00,1388.85,-1388.85,0.00
454,0.00,1111.08,-1111.08,0.00
455,0.00,833.31,-833.31,0.00
456,0.00,825.76,-825.76,0.00
457,0.00,818.22,-818.22,0.00
458,0.00,810.67,-810.67,0.00
459,0.00,810.67,-810.67,0.00
460,0.00,810.67,-810.67,0.00
461,351.02,1088.44,-737.42,32.25
462,596.73,1388.85,-792.12,42.97
463,934.90,1711.91,-777.01,54.61
464,1349.91,2027.42,-677.52,66.58
465,1796.34,2050.07,-253.73,87.62
466,2203.02,2050.07,152.96,107.46
467,2489.99,1764.75,725.24,141.10
468,2593.73,1727.01,866.72,150.19
469,2489.99,1711.91,778.08,145.45
470,2203.02,1727.01,476.02,127.56
471,1796.34,1742.11,54.23,103.11
472,1349.91,2027.42,-677.52,66.58
473,934.90,2312.74,-1377.84,40.42
474,0.00,2290.10,-2290.10,0.00
475,0.00,1989.68,-1989.68,0.00
476,0.00,1689.27,-1689.27,0.00
477,0.00,1388.85,-1388.85,0.00
478,0.00,1111.08,-1111.08,0.00
479,0.00,833.31,-833.31,0.00
480,0.00,825.76,-825.76,0.00
481,0.00,818.22,-818.22,0.00
482,0.00,810.67,-810.67,0.00
483,0.00,810.67,-810.67,0.00
484,0.00,810.67,-810.67,0.00
485,351.19,1088.44,-737.25,32.27
486,597.01,1388.85,-791.84,42.99
487,935.34,1711.91,-776.57,54.64
488,1350.54,2027.42,-676.89,66.61
489,1797.18,2050.07,-252.89,87.66
490,2204.05,2050.07,153.99,107.51
491,2491.16,1764.75,726.41,141.16
492,2594.94,1727.01,867.93,150.26
493,2491.16,1711.91,779.24,145.52
494,2204.05,1727.01,477.05,127.62
495,1797.18,1742.11,55.07,103.16
496,1350.54,2027.42,-676.89,66.61
497,935.34,2312.74,-1377.40,40.44
498,0.00,2290.10,-2290.10,0.00
499,0.00,1989.68,-1989.68,0.00
500,0.00,1689.27,-1689.27,0.00
501,0.00,1388.85,-1388.85,0.00
502,0.00,1111.08,-1111.08,0.00
503,0.00,833.31,-833.31,0.00
504,0.00,825.76,-825.76,0.00
505,0.00,818.22,-818.22,0.00
506,0.00,810.67,-810.67,0.00
507,0.00,810.67,-810.67,0.00
508,0.00,810.67,-810.67,0.00
509,351.36,1088.44,-737.08,32.28
510,597.30,1388.85,-791.56,43.01
511,935.79,1711.91,-776.12,54.66
512,1351.19,2027.42,-676.24,66.65
513,1798.04,2050.07,-252.03,87.71
514,2205.11,2050.07,155.04,107.56
515,2492.35,1764.75,727.60,141.23
516,2596.19,1727.01,869.18,150.33
517,2492.35,1711.91,780.44,145.59
518,2205.11,1727.01,478.10,127.68
519,1798.04,1742.11,55.93,103.21
520,1351.19,2027.42,-676.24,66.65
521,935.79,2312.74,-1376.95,40.46
522,0.00,2290.10,-2290.10,0.00
523,0.00,1989.68,-1989.68,0.00
524,0.00,1689.27,-1689.27,0.00
525,0.00,1388.85,-1388.85,0.00
526,0.00,1111.08,-1111.08,0.00
527,0.00,833.31,-833.31,0.00
528,0.00,825.76,-825.76,0.00
529,0.00,818.22,-818.22,0.00
530,0.00,810.67,-810.67,0.00
531,0.00,810.67,-810.67,0.00
532,0.00,810.67,-810.67,0.00
533,351.53,1088.44,-736.91,32.30
534,597.59,1388.85,-791.26,43.03
535,936.25,1711.91,-775.66,54.69
536,1351.85,2027.42,-675.57,66.68
537,1798.93,2050.07,-251.14,87.75
538,2206.20,2050.07,156.13,107.62
539,2493.58,1764.75,728.83,141.30
540,2597.47,1727.01,870.46,150.40
541,2493.58,1711.91,781.67,145.66
542,2206.20,1727.01,479.19,127.75
543,1798.93,1742.11,56.82,103.26
544,1351.85,2027.42,-675.57,66.68
545,936.25,2312.74,-1376.49,40.48
546,0.00,2290.10,-2290.10,0.00
547,0.00,1989.68,-1989.68,0.00
548,0.00,1689.27,-1689.27,0.00
549,0.00,1388.85,-1388.85,0.00
550,0.00,1111.08,-1111.08,0.00
551,0.00,833.31,-833.31,0.00
552,0.00,825.76,-825.76,0.00
553,0.00,818.22,-818.22,0.00
554,0.00,810.67,-810.67,0.00
555,0.00,810.67,-810.67,0.00
556,0.00,810.67,-810.67,0.00
557,351.71,1088.44,-736.73,32.31
558,597.89,1388.85,-790.96,43.05
559,936.73,1711.91,-775.19,54.72
560,1352.54,2027.42,-674.89,66.71
561,1799.84,2050.07,-250.23,87.79
562,2207.32,2050.07,157.25,107.67
563,2494.84,1764.75,730.09,141.37
564,2598.78,1727.01,871.77,150.48
565,2494.84,1711.91,782.93,145.73
566,2207.32,1727.01,480.31,127.81
567,1799.84,1742.11,57.73,103.31
568,1352.54,2027.42,-674.89,66.71
569,936.73,2312.74,-1376.02,40.50
570,0.00,2290.10,-2290.10,0.00
571,0.00,1989.68,-1989.68,0.00
572,0.00,1689.27,-1689.27,0.00
573,0.00,1388.85,-1388.85,0.00
574,0.00,1111.08,-1111.08,0.00
575,0.00,833.31,-833.31,0.00
576,0.00,825.76,-825.76,0.00
577,0.00,818.22,-818.22,0.00
578,0.00,810.67,-810.67,0.00
579,0.00,810.67,-810.67,0.00
580,0.00,810.67,-810.67,0.00
581,351.89,1088.44,-736.55,32.33
582,598.20,1388.85,-790.65,43.07
583,937.21,1711.91,-774.70,54.75
584,1353.24,2027.42,-674.19,66.75
585,1800.77,2050.07,-249.30,87.84
586,2208.46,2050.07,158.39,107.73
587,2496.14,1764.75,731.39,141.44
588,2600.13,1727.01,873.12,150.56
589,2496.14,1711.91,784.22,145.81
590,2208.46,1727.01,481.45,127.88
591,1800.77,1742.11,58.66,103.37
592,1353.24,2027.42,-674.19,66.75
593,937.21,2312.74,-1375.53,40.52
594,0.00,2290.10,-2290.10,0.00
595,0.00,1989.68,-1989.68,0.00
596,0.00,1689.27,-1689.27,0.00
597,0.00,1388.85,-1388.85,0.00
598,0.00,1111.08,-1111.08,0.00
599,0.00,833.31,-833.31,0.00
600,0.00,825.76,-825.76,0.00
601,0.00,818.22,-818.22,0.00
602,0.00,810.67,-810.67,0.00
603,0.00,810.67,-810.67,0.00
604,0.00,810.67,-810.67,0.00
605,352.08,1088.44,-736.36,32.35
606,598.52,1388.85,-790.33,43.09
607,937.71,1711.91,-774.21,54.78
608,1353.95,2027.42,-673.47,66.78
609,1801.72,2050.07,-248.34,87.89
610,2209.63,2050.07,159.56,107.78
611,2497.46,1764.75,732.71,141.52
612,2601.51,1727.01,874.50,150.64
613,2497.46,1711.91,785.55,145.89
614,2209.63,1727.01,482.62,127.95
615,1801.72,1742.11,59.62,103.42
616,1353.95,2027.42,-673.47,66.78
617,937.71,2312.74,-1375.04,40.55
618,0.00,2290.10,-2290.10,0.00
619,0.00,1989.68,-1989.68,0.00
620,0.00,1689.27,-1689.27,0.00
621,0.00,1388.85,-1388.85,0.00
622,0.00,1111.08,-1111.08,0.00
623,0.00,833.31,-833.31,0.00
624,0.00,825.76,-825.76,0.00
625,0.00,818.22,-818.22,0.00
626,0.00,810.67,-810.67,0.00
627,0.00,810.67,-810.67,0.00
628,0.00,810.67,-810.67,0.00
629,352.27,1088.44,-736.17,32.36
630,598.84,1388.85,-790.01,43.12
631,938.22,1711.91,-773.70,54.81
632,1354.69,2027.42,-672.73,66.82
633,1802.70,2050.07,-247.37,87.93
634,2210.83,2050.07,160.76,107.84
635,2498.82,1764.75,734.07,141.60
636,2602.92,1727.01,875.91,150.72
637,2498.82,1711.91,786.90,145.97
638,2210.83,1727.01,483.82,128.01
639,1802.70,1742.11,60.60,103.48
640,1354.69,2027.42,-672.73,66.82
641,938.22,2312.74,-1374.53,40.57
642,0.00,2290.10,-2290.10,0.00
643,0.00,1989.68,-1989.68,0.00
644,0.00,1689.27,-1689.27,0.00
645,0.00,1388.85,-1388.85,0.00
646,0.00,1111.08,-1111.08,0.00
647,0.00,833.31,-833.31,0.00
648,0.00,825.76,-825.76,0.00
649,0.00,818.22,-818.22,0.00
650,0.00,810.67,-810.67,0.00
651,0.00,810.67,-810.67,0.00
652,0.00,810.67,-810.67,0.00
653,352.46,1088.44,-735.98,32.38
654,599.18,1388.85,-789.68,43.14
655,938.74,1711.91,-773.18,54.84
656,1355.44,2027.42,-671.98,66.86
657,1803.70,2050.07,-246.37,87.98
658,2212.06,2050.07,161.99,107.90
659,2500.20,1764.75,735.45,141.67
660,2604.36,1727.01,877.35,150.80
661,2500.20,1711.91,788.29,146.05
662,2212.06,1727.01,485.05,128.09
663,1803.70,1742.11,61.60,103.54
664,1355.44,2027.42,-671.98,66.86
665,938.74,2312.74,-1374.01,40.59
666,0.00,2290.10,-2290.10,0.00
667,0.00,1989.68,-1989.68,0.00
668,0.00,1689.27,-1689.27,0.00
669,0.00,1388.85,-1388.85,0.00
670,0.00,1111.08,-1111.08,0.00
671,0.00,833.31,-833.31,0.00
672,0.00,825.76,-825.76,0.00
673,0.00,818.22,-818.22,0.00
674,0.00,810.67,-810.67,0.00
675,0.00,810.67,-810.67,0.00
676,0.00,810.67,-810.67,0.00
677,352.66,1088.44,-735.78,32.40
678,599.52,1388.85,-789.34,43.17
679,939.27,1711.91,-772.64,54.87
680,1356.21,2027.42,-671.22,66.89
681,1804.72,2050.07,-245.35,88.03
682,2213.31,2050.07,163.24,107.96
683,2501.62,1764.75,736.87,141.75
684,2605.84,1727.01,878.83,150.89
685,2501.62,1711.91,789.70,146.13
686,2213.31,1727.01,486.30,128.16
687,1804.72,1742.11,62.62,103.59
688,1356.21,2027.42,-671.22,66.89
689,939.27,2312.74,-1373.48,40.61
